Community Code,Community Name,Latitude,Longitude
126,Abu Hail,25.27651,55.34592
333,Al Bada,25.21977,55.26466
122,Al Baraha,25.28292,55.31806
114,Al Buteen,25.26858,55.29829
113,Al Dhagaya,25.27185,55.29893
214,Al Garhoud,25.22894,55.32663
313,"Al Hamriya, Dubai",25.2589,55.30234
131,Al Hamriya Port,25.29917,55.33408
322,Al Hudaiba,25.24004,55.27831
326,Al Jaddaf,25.214338,55.32578
323,Al Jafiliya,25.23918,55.28501
318,Al Karama,25.24182,55.30106
128,Al Khabisi,25.27078,55.33656
324,Al Kifaf,25.235321,55.29651
134,Al Mamzar,25.30947,55.34281
363,Al Manara,25.14451,55.21317
317,Al Mankhool,25.24648,55.29239
321,Al Mina,25.249207,55.27756
262,Al Mizhar First,25.244568,55.42347
263,Al Mizhar Second,25.243073,55.44283
124,Al Muraqqabat,25.26804,55.32492
117,Al Murar,25.27772,55.30964
123,Al Muteena,25.27575,55.3223
231,Al Nahda First,25.28922,55.35899
241,Al Nahda Second,25.29017,55.3689
319,"Al Nasr, Dubai",25.239349,55.30273
354,Al Quoz First,25.13083,55.23273
364,Al Quoz Industrial First,25.146143,55.23091
369,Al Quoz Industrial Fourth,25.16927,55.24479
365,Al Quoz Industrial Second,25.134148,55.22934
368,Al Quoz Industrial Third,25.125855,55.20068
355,Al Quoz Second,25.13083,55.23273
358,Al Quoz Third,25.160842,55.23164
112,Al Ras,25.269182,55.29111
216,Al Rashidiya,25.224363,55.38172
119,Al Rigga,25.266451,55.30541
115,Al Sabkha,25.271234,55.29561
353,Al Safa First,25.175967,55.22898
357,Al Safa Second,25.160135,55.21655
372,Al Safouh First,25.121302,55.16521
382,Al Safouh Second,25.101451,55.14441
334,Al Satwa,25.220154,55.25649
311,Al Shindagha,25.267046,55.28058
226,Al Twar First,25.271531,55.35482
227,Al Twar Second,25.261214,55.37713
228,Al Twar Third,25.250416,55.38725
425,Al Warqa'a Fifth,25.180733,55.44338
421,Al Warqa'a First,25.188861,55.39466
424,Al Warqa'a Fourth,25.18723,55.42109
422,Al Warqa'a Second,25.20158,55.40036
423,Al Warqa'a Third,25.191514,55.40618
343,Al Wasl,25.19832,55.23911
132,Al Waheda,25.28904,55.33017
116,Ayal Nasir,25.272851,55.29504
346,Business Bay,25.185029,55.2656
611,Bu Kadra,25.177087,55.31628
345,Downtown Dubai,25.194148,55.26927
127,Hor Al Anz,25.277238,55.32885
133,Hor Al Anz East,25.284816,55.34286
383,Jebel Ali 1,24.996806,55.45151
384,Jebel Ali 2,25.054582,55.09752
599,Jebel Ali Industrial,24.996908,55.10854
332,Jumeira First,25.22397,55.24105
342,Jumeira Second,25.20004,55.23418
352,Jumeira Third,25.165502,55.17733
251,Mirdif,25.221342,55.40612
245,Muhaisanah Fourth,25.27925,55.40054
264,Muhaisanah Second,25.256667,55.40736
244,Muhaisanah Third,25.272683,55.39664
261,Muhaisnah First,25.245184,55.40893
416,Nad Al Hammar,25.198182,55.36918
617,Nadd Al Shiba Fourth,25.135771,55.34667
615,Nadd Al Shiba Second,25.155831,55.32849
616,Nadd Al Shiba Third,25.153104,55.35855
213,Nad Shamma,25.217466,55.38116
118,Naif,25.273166,55.30698
129,Port Saeed,25.251067,55.30417
125,Rigga Al Buteen,25.266451,55.30541
335,Trade Centre 1,25.217937,55.26149
336,Trade Centre 2,25.221743,55.27686
367,Umm Al Sheif,25.132218,55.19569
314,Umm Hurair First,25.254344,55.30809
315,Umm Hurair Second,25.238335,55.30795
215,Umm Ramool,25.229609,55.35611
356,Umm Suqeim First,25.165687,55.20769
362,Umm Suqeim Second,25.15129,55.19532
366,Umm Suqeim Third,25.137711,55.18538
621,Warsan First,25.158359,55.42214
622,Warsan Second,25.156328,55.42082
325,Za'abeel First,25.220857,55.29399
337,Za'abeel Second,25.210787,55.27786